品番,商品名,旧カタログ参照,印刷ページ参照,変換方法,旧入数,修正入数,入数修正根拠,確認元PDF
58-5,チェンジドライバー先丈(+)極小1.5mm 30mm,カタログP.230,カタログP.154,viewer_page_minus_76,,,,C:\Users\AONUSR02\Desktop\売上データ\サンニシムラ総合カタログ2025-2027 (1).pdf
58-45,チェンジドライバー先(+)小小1.8mm30mm,カタログP.230,カタログP.154,viewer_page_minus_76,,,,C:\Users\AONUSR02\Desktop\売上データ\サンニシムラ総合カタログ2025-2027 (1).pdf
59,(-)チェンジドライバーセット(3本入),"カタログP.231,248","カタログP.155,172",viewer_page_minus_76,3本,3本,,C:\Users\AONUSR02\Desktop\売上データ\サンニシムラ総合カタログ2025-2027 (1).pdf
59-2,チェンジドライバー先丈(-)大2.5mm 30mm,カタログP.230,カタログP.154,viewer_page_minus_76,,,,C:\Users\AONUSR02\Desktop\売上データ\サンニシムラ総合カタログ2025-2027 (1).pdf
59-3,チェンジドライバー先丈(-)中2.0mm 30mm,カタログP.230,カタログP.154,viewer_page_minus_76,,,,C:\Users\AONUSR02\Desktop\売上データ\サンニシムラ総合カタログ2025-2027 (1).pdf
59-4,チェンジドライバー先丈(-)小1.5mm 30mm,カタログP.230,カタログP.154,viewer_page_minus_76,,,,C:\Users\AONUSR02\Desktop\売上データ\サンニシムラ総合カタログ2025-2027 (1).pdf
60-1,"チェンジドライバ-柄[No.58,59,60]兼用",カタログP.230,カタログP.154,viewer_page_minus_76,,,,C:\Users\AONUSR02\Desktop\売上データ\サンニシムラ総合カタログ2025-2027 (1).pdf
60-4-2,チェンジドライバー先丈六角大2.6mm 30mm,カタログP.230,カタログP.154,viewer_page_minus_76,,,,C:\Users\AONUSR02\Desktop\売上データ\サンニシムラ総合カタログ2025-2027 (1).pdf
60-4-3,チェンジドライバー先丈六角中2.3mm 30mm,カタログP.230,カタログP.154,viewer_page_minus_76,,,,C:\Users\AONUSR02\Desktop\売上データ\サンニシムラ総合カタログ2025-2027 (1).pdf
60-4-4,チェンジドライバー先丈六角小2.0mm 30mm,カタログP.230,カタログP.154,viewer_page_minus_76,,,,C:\Users\AONUSR02\Desktop\売上データ\サンニシムラ総合カタログ2025-2027 (1).pdf
61,ネジ頭切りヤスリ,カタログP.234,カタログP.158,viewer_page_minus_76,,,,C:\Users\AONUSR02\Desktop\売上データ\サンニシムラ総合カタログ2025-2027 (1).pdf
62,ダイヤモンドヤスリ(平),カタログP.240,カタログP.164,viewer_page_minus_76,,,,C:\Users\AONUSR02\Desktop\売上データ\サンニシムラ総合カタログ2025-2027 (1).pdf
63,ダイヤモンドヤスリ(角),カタログP.240,カタログP.164,viewer_page_minus_76,,,,C:\Users\AONUSR02\Desktop\売上データ\サンニシムラ総合カタログ2025-2027 (1).pdf
64,ダイヤモンドヤスリ(三角),カタログP.240,カタログP.164,viewer_page_minus_76,,,,C:\Users\AONUSR02\Desktop\売上データ\サンニシムラ総合カタログ2025-2027 (1).pdf
65,ダイヤモンドヤスリ(半丸),カタログP.240,カタログP.164,viewer_page_minus_76,,,,C:\Users\AONUSR02\Desktop\売上データ\サンニシムラ総合カタログ2025-2027 (1).pdf
66,ダイヤモンドヤスリ(丸),カタログP.240,カタログP.164,viewer_page_minus_76,,,,C:\Users\AONUSR02\Desktop\売上データ\サンニシムラ総合カタログ2025-2027 (1).pdf
67,±ネジセットW 樹脂加工(ゆるみ止),カタログP.110,カタログP.34,viewer_page_minus_76,,,,C:\Users\AONUSR02\Desktop\売上データ\サンニシムラ総合カタログ2025-2027 (1).pdf
67-31,±ネジW 1.2×3.5,"カタログP.110,111,248","カタログP.34,35,172",viewer_page_minus_76,30本,30本,,C:\Users\AONUSR02\Desktop\売上データ\サンニシムラ総合カタログ2025-2027 (1).pdf
67-31A,±ネジW1.2×3.5(100本入),,,no_reference,100本,100本,,C:\Users\AONUSR02\Desktop\売上データ\サンニシムラ総合カタログ2025-2027 (1).pdf
67-31B,±ネジW1.2×3.5(300本入),,,no_reference,300本,300本,,C:\Users\AONUSR02\Desktop\売上データ\サンニシムラ総合カタログ2025-2027 (1).pdf
67-31C,±ネジW1.2×3.5(1000本入),,,no_reference,1000本,1000本,,C:\Users\AONUSR02\Desktop\売上データ\サンニシムラ総合カタログ2025-2027 (1).pdf
67-32,±ネジW 1.2×4.0,"カタログP.110,111","カタログP.34,35",viewer_page_minus_76,,,,C:\Users\AONUSR02\Desktop\売上データ\サンニシムラ総合カタログ2025-2027 (1).pdf
67-32A,±ネジW1.2×4.0(100本入),,,no_reference,100本,100本,,C:\Users\AONUSR02\Desktop\売上データ\サンニシムラ総合カタログ2025-2027 (1).pdf
67-32B,±ネジW1.2×4.0(300本入),,,no_reference,300本,300本,,C:\Users\AONUSR02\Desktop\売上データ\サンニシムラ総合カタログ2025-2027 (1).pdf
67-32C,±ネジW1.2×4.0(1000本入),,,no_reference,1000本,1000本,,C:\Users\AONUSR02\Desktop\売上データ\サンニシムラ総合カタログ2025-2027 (1).pdf
67-33,±ネジW 1.4×3.0,"カタログP.110,111,248","カタログP.34,35,172",viewer_page_minus_76,,,,C:\Users\AONUSR02\Desktop\売上データ\サンニシムラ総合カタログ2025-2027 (1).pdf
67-33A,±ネジW1.4×3.0(100本入),,,no_reference,100本,100本,,C:\Users\AONUSR02\Desktop\売上データ\サンニシムラ総合カタログ2025-2027 (1).pdf
67-33B,±ネジW1.4×3.0(300本入),,,no_reference,300本,300本,,C:\Users\AONUSR02\Desktop\売上データ\サンニシムラ総合カタログ2025-2027 (1).pdf
67-33C,±ネジW1.4×3.0(1000本入),,,no_reference,1000本,1000本,,C:\Users\AONUSR02\Desktop\売上データ\サンニシムラ総合カタログ2025-2027 (1).pdf
67-34,±ネジW 1.4×3.5,"カタログP.110,111","カタログP.34,35",viewer_page_minus_76,30本,30本,,C:\Users\AONUSR02\Desktop\売上データ\サンニシムラ総合カタログ2025-2027 (1).pdf
67-34A,±ネジW1.4×3.5(100本入),,,no_reference,100本,100本,,C:\Users\AONUSR02\Desktop\売上データ\サンニシムラ総合カタログ2025-2027 (1).pdf
67-34B,±ネジW1.4×3.5(300本入),,,no_reference,300本,300本,,C:\Users\AONUSR02\Desktop\売上データ\サンニシムラ総合カタログ2025-2027 (1).pdf
67-34C,±ネジW1.4×3.5(1000本入),,,no_reference,1000本,1000本,,C:\Users\AONUSR02\Desktop\売上データ\サンニシムラ総合カタログ2025-2027 (1).pdf
67-35,±ネジW 1.4×4.0,"カタログP.110,111","カタログP.34,35",viewer_page_minus_76,30本,30本,,C:\Users\AONUSR02\Desktop\売上データ\サンニシムラ総合カタログ2025-2027 (1).pdf
67-35A,±ネジW1.4×4.0(100本入),,,no_reference,100本,100本,,C:\Users\AONUSR02\Desktop\売上データ\サンニシムラ総合カタログ2025-2027 (1).pdf
67-35B,±ネジW1.4×4.0(300本入),,,no_reference,300本,300本,,C:\Users\AONUSR02\Desktop\売上データ\サンニシムラ総合カタログ2025-2027 (1).pdf
67-35C,±ネジW1.4×4.0(1000本入),,,no_reference,1000本,1000本,,C:\Users\AONUSR02\Desktop\売上データ\サンニシムラ総合カタログ2025-2027 (1).pdf
67-36,±ネジW 1.4×4.5,"カタログP.110,111,248","カタログP.34,35,172",viewer_page_minus_76,,,,C:\Users\AONUSR02\Desktop\売上データ\サンニシムラ総合カタログ2025-2027 (1).pdf
67-37,±ネジW 1.4×5.0,"カタログP.110,111","カタログP.34,35",viewer_page_minus_76,,,,C:\Users\AONUSR02\Desktop\売上データ\サンニシムラ総合カタログ2025-2027 (1).pdf
67-38,±ネジW 1.4×5.5,"カタログP.110,111","カタログP.34,35",viewer_page_minus_76,30本,30本,,C:\Users\AONUSR02\Desktop\売上データ\サンニシムラ総合カタログ2025-2027 (1).pdf
67-39,±ネジW 1.4×6.0,"カタログP.110,111","カタログP.34,35",viewer_page_minus_76,30本,30本,,C:\Users\AONUSR02\Desktop\売上データ\サンニシムラ総合カタログ2025-2027 (1).pdf
67-40,±ネジW 1.4×7.0,"カタログP.110,111","カタログP.34,35",viewer_page_minus_76,30本,30本,,C:\Users\AONUSR02\Desktop\売上データ\サンニシムラ総合カタログ2025-2027 (1).pdf
67-41,±ネジW 1.4×8.0,"カタログP.110,111","カタログP.34,35",viewer_page_minus_76,,,,C:\Users\AONUSR02\Desktop\売上データ\サンニシムラ総合カタログ2025-2027 (1).pdf
67-42,±ネジW 1.7×3.0,"カタログP.110,111","カタログP.34,35",viewer_page_minus_76,30本,30本,,C:\Users\AONUSR02\Desktop\売上データ\サンニシムラ総合カタログ2025-2027 (1).pdf
67-43,±ネジW 1.7×4.0,"カタログP.110,111","カタログP.34,35",viewer_page_minus_76,30本,30本,,C:\Users\AONUSR02\Desktop\売上データ\サンニシムラ総合カタログ2025-2027 (1).pdf
67-44,±ネジW 1.7×5.0,"カタログP.110,111","カタログP.34,35",viewer_page_minus_76,,,,C:\Users\AONUSR02\Desktop\売上データ\サンニシムラ総合カタログ2025-2027 (1).pdf
67-45,±ネジW 1.7×6.0,"カタログP.110,111","カタログP.34,35",viewer_page_minus_76,30本,30本,,C:\Users\AONUSR02\Desktop\売上データ\サンニシムラ総合カタログ2025-2027 (1).pdf
67-46,±ネジW 1.7×7.0,"カタログP.110,111","カタログP.34,35",viewer_page_minus_76,30本,30本,,C:\Users\AONUSR02\Desktop\売上データ\サンニシムラ総合カタログ2025-2027 (1).pdf
67-47,±ネジW 1.7×8.0,"カタログP.110,111","カタログP.34,35",viewer_page_minus_76,30本,30本,,C:\Users\AONUSR02\Desktop\売上データ\サンニシムラ総合カタログ2025-2027 (1).pdf
67-48,±ネジW 1.7×10.0,"カタログP.110,111","カタログP.34,35",viewer_page_minus_76,30本,30本,,C:\Users\AONUSR02\Desktop\売上データ\サンニシムラ総合カタログ2025-2027 (1).pdf
67-49,±ネジW 1.0×3.5,"カタログP.110,111,248","カタログP.34,35,172",viewer_page_minus_76,30本,30本,,C:\Users\AONUSR02\Desktop\売上データ\サンニシムラ総合カタログ2025-2027 (1).pdf
67-50,±ネジW 1.0×4.0,"カタログP.110,111","カタログP.34,35",viewer_page_minus_76,30本,30本,,C:\Users\AONUSR02\Desktop\売上データ\サンニシムラ総合カタログ2025-2027 (1).pdf
67-50A,±ネジW1.0×4.0(100本入),,,no_reference,100本,100本,,C:\Users\AONUSR02\Desktop\売上データ\サンニシムラ総合カタログ2025-2027 (1).pdf
67-50B,±ネジW1.0×4.0(300本入),,,no_reference,300本,300本,,C:\Users\AONUSR02\Desktop\売上データ\サンニシムラ総合カタログ2025-2027 (1).pdf
67-50C,±ネジW1.0×4.0(1000本入),,,no_reference,1000本,1000本,,C:\Users\AONUSR02\Desktop\売上データ\サンニシムラ総合カタログ2025-2027 (1).pdf
67-71,±ネジW 1.4×2.0,"カタログP.110,111,248","カタログP.34,35,172",viewer_page_minus_76,,,,C:\Users\AONUSR02\Desktop\売上データ\サンニシムラ総合カタログ2025-2027 (1).pdf
67-72,±ネジW 1.4×2.5,"カタログP.110,111","カタログP.34,35",viewer_page_minus_76,30本,30本,,C:\Users\AONUSR02\Desktop\売上データ\サンニシムラ総合カタログ2025-2027 (1).pdf
67-72A,±ネジW1.4×2.5(100本入),,,no_reference,100本,100本,,C:\Users\AONUSR02\Desktop\売上データ\サンニシムラ総合カタログ2025-2027 (1).pdf
67-72B,±ネジW1.4×2.5(300本入),,,no_reference,300本,300本,,C:\Users\AONUSR02\Desktop\売上データ\サンニシムラ総合カタログ2025-2027 (1).pdf
67-72C,±ネジW1.4×2.5(1000本入),,,no_reference,1000本,1000本,,C:\Users\AONUSR02\Desktop\売上データ\サンニシムラ総合カタログ2025-2027 (1).pdf
67-73,±ネジW 1.3×4.5,"カタログP.110,111,288","カタログP.34,35,212",viewer_page_minus_76,10本,10本,,C:\Users\AONUSR02\Desktop\売上データ\サンニシムラ総合カタログ2025-2027 (1).pdf
67-74,±ネジW 1.5×5.0,"カタログP.110,111,288","カタログP.34,35,212",viewer_page_minus_76,10本,10本,,C:\Users\AONUSR02\Desktop\売上データ\サンニシムラ総合カタログ2025-2027 (1).pdf
67-75,±ネジW 1.8×6.0,"カタログP.110,111,288","カタログP.34,35,212",viewer_page_minus_76,10本,10本,,C:\Users\AONUSR02\Desktop\売上データ\サンニシムラ総合カタログ2025-2027 (1).pdf
67-76,±ネジW 1.4×2.7,"カタログP.110,111","カタログP.34,35",viewer_page_minus_76,30本,30本,,C:\Users\AONUSR02\Desktop\売上データ\サンニシムラ総合カタログ2025-2027 (1).pdf
67-76A,±ネジW1.4×2.7(100本入),,,no_reference,100本,100本,,C:\Users\AONUSR02\Desktop\売上データ\サンニシムラ総合カタログ2025-2027 (1).pdf
67-76B,±ネジW1.4×2.7(300本入),,,no_reference,300本,300本,,C:\Users\AONUSR02\Desktop\売上データ\サンニシムラ総合カタログ2025-2027 (1).pdf
67-76C,±ネジW1.4×2.7(1000本入),,,no_reference,1000本,1000本,,C:\Users\AONUSR02\Desktop\売上データ\サンニシムラ総合カタログ2025-2027 (1).pdf
67-77,±ネジW 1.4×3.3,"カタログP.110,111","カタログP.34,35",viewer_page_minus_76,,,,C:\Users\AONUSR02\Desktop\売上データ\サンニシムラ総合カタログ2025-2027 (1).pdf
67-77A,±ネジW1.4×3.3(100本入),,,no_reference,100本,100本,,C:\Users\AONUSR02\Desktop\売上データ\サンニシムラ総合カタログ2025-2027 (1).pdf
67-77B,±ネジW1.4×3.3(300本入),,,no_reference,300本,300本,,C:\Users\AONUSR02\Desktop\売上データ\サンニシムラ総合カタログ2025-2027 (1).pdf
67-77C,±ネジW1.4×3.3(1000本入),,,no_reference,1000本,1000本,,C:\Users\AONUSR02\Desktop\売上データ\サンニシムラ総合カタログ2025-2027 (1).pdf
67-78,±ネジW 1.4×3.7,"カタログP.110,111","カタログP.34,35",viewer_page_minus_76,30本,30本,,C:\Users\AONUSR02\Desktop\売上データ\サンニシムラ総合カタログ2025-2027 (1).pdf
67-79,±フロント止ネジW 1.4×2.5,"カタログP.110,111","カタログP.34,35",viewer_page_minus_76,30本,30本,,C:\Users\AONUSR02\Desktop\売上データ\サンニシムラ総合カタログ2025-2027 (1).pdf
67-80,±フロント止ネジW 1.4×3.0,"カタログP.110,111","カタログP.34,35",viewer_page_minus_76,30本,30本,,C:\Users\AONUSR02\Desktop\売上データ\サンニシムラ総合カタログ2025-2027 (1).pdf
67-81,±フロント止ネジW 1.4×4.0,"カタログP.110,111","カタログP.34,35",viewer_page_minus_76,30本,30本,,C:\Users\AONUSR02\Desktop\売上データ\サンニシムラ総合カタログ2025-2027 (1).pdf
67-82,±ツーポイントネジW1.4×12.0,"カタログP.110,111,124,127","カタログP.34,35,48,51",viewer_page_minus_76,30本,30本,,C:\Users\AONUSR02\Desktop\売上データ\サンニシムラ総合カタログ2025-2027 (1).pdf
67-82A,±ツーポイントネジW1.4×12.0(100本入),,,no_reference,100本,100本,,C:\Users\AONUSR02\Desktop\売上データ\サンニシムラ総合カタログ2025-2027 (1).pdf
67-82B,±ツーポイントネジW1.4×12.0(300本入),,,no_reference,300本,300本,,C:\Users\AONUSR02\Desktop\売上データ\サンニシムラ総合カタログ2025-2027 (1).pdf
68,部品セット G・W,カタログP.132,カタログP.56,viewer_page_minus_76,,,,C:\Users\AONUSR02\Desktop\売上データ\サンニシムラ総合カタログ2025-2027 (1).pdf
68-51,グースネック横付足G,カタログP.132,カタログP.56,viewer_page_minus_76,,,,C:\Users\AONUSR02\Desktop\売上データ\サンニシムラ総合カタログ2025-2027 (1).pdf
68-51-1,グースネック横付足G左側のみ,,,no_reference,,,,C:\Users\AONUSR02\Desktop\売上データ\サンニシムラ総合カタログ2025-2027 (1).pdf
68-51-2,グースネック横付足G右側のみ,,,no_reference,,,,C:\Users\AONUSR02\Desktop\売上データ\サンニシムラ総合カタログ2025-2027 (1).pdf
68-52,グースネック横付足W,カタログP.132,カタログP.56,viewer_page_minus_76,,,,C:\Users\AONUSR02\Desktop\売上データ\サンニシムラ総合カタログ2025-2027 (1).pdf
68-52-1,グースネック横付足W左側のみ,,,no_reference,,,,C:\Users\AONUSR02\Desktop\売上データ\サンニシムラ総合カタログ2025-2027 (1).pdf
68-52-2,グースネック横付足W右側のみ,,,no_reference,,,,C:\Users\AONUSR02\Desktop\売上データ\サンニシムラ総合カタログ2025-2027 (1).pdf
68-53,グースネック上付足G,カタログP.132,カタログP.56,viewer_page_minus_76,,,,C:\Users\AONUSR02\Desktop\売上データ\サンニシムラ総合カタログ2025-2027 (1).pdf
68-53-1,グースネック上付足G左側のみ,,,no_reference,,,,C:\Users\AONUSR02\Desktop\売上データ\サンニシムラ総合カタログ2025-2027 (1).pdf
68-53-2,グースネック上付足G右側のみ,,,no_reference,,,,C:\Users\AONUSR02\Desktop\売上データ\サンニシムラ総合カタログ2025-2027 (1).pdf
68-54,グースネック上付足W,カタログP.132,カタログP.56,viewer_page_minus_76,,,,C:\Users\AONUSR02\Desktop\売上データ\サンニシムラ総合カタログ2025-2027 (1).pdf
68-54-1,グースネック上付足W左側のみ,,,no_reference,,,,C:\Users\AONUSR02\Desktop\売上データ\サンニシムラ総合カタログ2025-2027 (1).pdf
68-54-2,グースネック上付足W右側のみ,,,no_reference,,,,C:\Users\AONUSR02\Desktop\売上データ\サンニシムラ総合カタログ2025-2027 (1).pdf
68-55,U型横付足G,カタログP.132,カタログP.56,viewer_page_minus_76,,,,C:\Users\AONUSR02\Desktop\売上データ\サンニシムラ総合カタログ2025-2027 (1).pdf
68-55-1,U型横付足G左側のみ,,,no_reference,,,,C:\Users\AONUSR02\Desktop\売上データ\サンニシムラ総合カタログ2025-2027 (1).pdf
