品番,商品名,HPから確認した情報,カタログから確認した情報,日本語の一言要約,英語の一言要約,中国語の一言要約,韓国語の一言要約,確認元URLまたはカタログ掲載ページ
0819-10A,(-)バネ丁番ネジG(100本入),HP照合ステータス: not_found。exact未確認のため要約根拠はカタログ優先。,固定 / 修理や交換に使いやすい / 固定に使う商品です。サイズを合わせて使うことで、ゆるみや紛失時の修理対応をスムーズにできます。 / 入数: 100本,丁番・箱足・ブッシュなど、テンプルの開閉部を交換・補修する部品です。対応形状を合わせ、動きやガタつきを整えやすくします。,"A hinge-area part such as a hinge, end piece, or bushing. Matching the shape helps restore temple movement and reduce looseness.",用于更换或维修铰链、桩头、衬套等镜腿开合部位的零件。匹配形状后，便于改善开合和松动。,"힌지, 엔드피스, 부싱 등 템플 개폐부를 교체·보수하는 부품입니다. 대응 형태를 맞춰 움직임과 흔들림을 정돈하기 쉽습니다.",PDF:サンニシムラ総合カタログ2025-2027 (1).pdf
0819-11,(-)バネ丁番ネジG1.4×3.5,HP照合ステータス: variant_group。exact未確認のため要約根拠はカタログ優先。,カタログP.57 / 固定 / 修理や交換に使いやすい / 固定に使う商品です。サイズを合わせて使うことで、ゆるみや紛失時の修理対応をスムーズにできます。 / 入数: 10本 / バネ丁番ネジ G 1.4×4.5×2.0 10本 10本 10本 No.0819-10 No.0819-11 1袋 240N299 Parts バネ丁番パーツ No.772-518 No.772-519 No.772-520 No.772-521 No.772-522 No.773-523 12ヶ,丁番・箱足・ブッシュなど、テンプルの開閉部を交換・補修する部品です。対応形状を合わせ、動きやガタつきを整えやすくします。,"A hinge-area part such as a hinge, end piece, or bushing. Matching the shape helps restore temple movement and reduce looseness.",用于更换或维修铰链、桩头、衬套等镜腿开合部位的零件。匹配形状后，便于改善开合和松动。,"힌지, 엔드피스, 부싱 등 템플 개폐부를 교체·보수하는 부품입니다. 대응 형태를 맞춰 움직임과 흔들림을 정돈하기 쉽습니다.",カタログP.57 / PDF:サンニシムラ総合カタログ2025-2027 (1).pdf
0819-11A,(-)バネ丁番ネジG(100本入),HP照合ステータス: not_found。exact未確認のため要約根拠はカタログ優先。,固定 / 修理や交換に使いやすい / 固定に使う商品です。サイズを合わせて使うことで、ゆるみや紛失時の修理対応をスムーズにできます。 / 入数: 100本,丁番・箱足・ブッシュなど、テンプルの開閉部を交換・補修する部品です。対応形状を合わせ、動きやガタつきを整えやすくします。,"A hinge-area part such as a hinge, end piece, or bushing. Matching the shape helps restore temple movement and reduce looseness.",用于更换或维修铰链、桩头、衬套等镜腿开合部位的零件。匹配形状后，便于改善开合和松动。,"힌지, 엔드피스, 부싱 등 템플 개폐부를 교체·보수하는 부품입니다. 대응 형태를 맞춰 움직임과 흔들림을 정돈하기 쉽습니다.",PDF:サンニシムラ総合カタログ2025-2027 (1).pdf
0819-12,(-)バネ丁番ネジG1.4×4.5,HP照合ステータス: variant_group。exact未確認のため要約根拠はカタログ優先。,カタログP.57 / 交換・補修部品 / 必要部品だけを補充しやすい / 眼鏡修理・補修用の交換部品です。破損や摩耗した部分を必要な分だけ補充し、修理対応をしやすくします。 / 入数: 10本 / 具 丁番の隙間に先端部分を 入れる事により隙間が 広がります 視力測定 ヤットコでピンを 折って下さい No.0819-12 お徳用あります 100個 詳しくはP1〜5 を参照 バネ丁番ネジ 240N8500 加 加工備品 消 耗 品 ショップ アイテム POP ラッピング エッシェン,丁番・箱足・ブッシュなど、テンプルの開閉部を交換・補修する部品です。対応形状を合わせ、動きやガタつきを整えやすくします。,"A hinge-area part such as a hinge, end piece, or bushing. Matching the shape helps restore temple movement and reduce looseness.",用于更换或维修铰链、桩头、衬套等镜腿开合部位的零件。匹配形状后，便于改善开合和松动。,"힌지, 엔드피스, 부싱 등 템플 개폐부를 교체·보수하는 부품입니다. 대응 형태를 맞춰 움직임과 흔들림을 정돈하기 쉽습니다.",カタログP.57 / PDF:サンニシムラ総合カタログ2025-2027 (1).pdf
0819-12A,(-)バネ丁番ネジG(100本入),HP照合ステータス: not_found。exact未確認のため要約根拠はカタログ優先。,固定 / 修理や交換に使いやすい / 固定に使う商品です。サイズを合わせて使うことで、ゆるみや紛失時の修理対応をスムーズにできます。 / 入数: 100本,丁番・箱足・ブッシュなど、テンプルの開閉部を交換・補修する部品です。対応形状を合わせ、動きやガタつきを整えやすくします。,"A hinge-area part such as a hinge, end piece, or bushing. Matching the shape helps restore temple movement and reduce looseness.",用于更换或维修铰链、桩头、衬套等镜腿开合部位的零件。匹配形状后，便于改善开合和松动。,"힌지, 엔드피스, 부싱 등 템플 개폐부를 교체·보수하는 부품입니다. 대응 형태를 맞춰 움직임과 흔들림을 정돈하기 쉽습니다.",PDF:サンニシムラ総合カタログ2025-2027 (1).pdf
0822-01,花型ナットW1.2×2.25×1.0,HP照合ステータス: not_found。exact未確認のため要約根拠はカタログ優先。,カタログP.50 / 小部品固定 / ゆるみやガタつきを抑えやすい / ツーポイントや小部品の固定に使うナットです。サイズを合わせて交換することで、ゆるみやガタつきを抑え、仕上がりを安定させやすくします。 / 入数: 18ヶ / ツーポイント 1.2 2.25 パ ット セ ット No.0822-01 花型 W ツーポイント 1.2 鼻 盛 パ ット No.0822-03 花型 GUN ツーポイント,ツーポイントや小部品の固定に使うナットです。サイズを合わせて交換することで、ガタつきを抑えて仕上がりを安定させやすくします。,A nut for rimless frames and small parts. Selecting the right size helps reduce looseness and stabilize the finish.,用于无框架和小部件固定的螺母。按尺寸更换，可减少松动并稳定完成度。,무테 프레임과 작은 부품 고정에 사용하는 너트입니다. 사이즈를 맞춰 교체하면 흔들림을 줄이고 마감을 안정시키기 쉽습니다.,カタログP.50 / PDF:サンニシムラ総合カタログ2025-2027 (1).pdf
0822-01A,花型ナットW(100個入),HP照合ステータス: not_found。exact未確認のため要約根拠はカタログ優先。,小部品固定 / ゆるみやガタつきを抑えやすい / ツーポイントや小部品の固定に使うナットです。サイズを合わせて交換することで、ゆるみやガタつきを抑え、仕上がりを安定させやすくします。 / 入数: 100個,ツーポイントや小部品の固定に使うナットです。サイズを合わせて交換することで、ガタつきを抑えて仕上がりを安定させやすくします。,A nut for rimless frames and small parts. Selecting the right size helps reduce looseness and stabilize the finish.,用于无框架和小部件固定的螺母。按尺寸更换，可减少松动并稳定完成度。,무테 프레임과 작은 부품 고정에 사용하는 너트입니다. 사이즈를 맞춰 교체하면 흔들림을 줄이고 마감을 안정시키기 쉽습니다.,PDF:サンニシムラ総合カタログ2025-2027 (1).pdf
0822-02,花型ナットG1.2×2.25×1.0,HP照合ステータス: not_found。exact未確認のため要約根拠はカタログ優先。,カタログP.50 / 小部品固定 / ゆるみやガタつきを抑えやすい / ツーポイントや小部品の固定に使うナットです。サイズを合わせて交換することで、ゆるみやガタつきを抑え、仕上がりを安定させやすくします。 / 形状 カラー 特徴・ 用途 ハ ード パ ット No.0822-02 花型 G ツーポイント 1.2 2.25 パ ット セ ット No.0822-01 花型 W / 入数: 16ヶ / 形状 カラー 特徴・ 用途 ハ ード パ ット No.0822-02 花型 G ツーポイント 1.2 2.25 パ ット セ ット No.0822-01 花型 W,ツーポイントや小部品の固定に使うナットです。サイズを合わせて交換することで、ガタつきを抑えて仕上がりを安定させやすくします。,A nut for rimless frames and small parts. Selecting the right size helps reduce looseness and stabilize the finish.,用于无框架和小部件固定的螺母。按尺寸更换，可减少松动并稳定完成度。,무테 프레임과 작은 부품 고정에 사용하는 너트입니다. 사이즈를 맞춰 교체하면 흔들림을 줄이고 마감을 안정시키기 쉽습니다.,カタログP.50 / PDF:サンニシムラ総合カタログ2025-2027 (1).pdf
0822-02A,花型ナットG(100個入),HP照合ステータス: not_found。exact未確認のため要約根拠はカタログ優先。,小部品固定 / ゆるみやガタつきを抑えやすい / ツーポイントや小部品の固定に使うナットです。サイズを合わせて交換することで、ゆるみやガタつきを抑え、仕上がりを安定させやすくします。 / 入数: 100個,ツーポイントや小部品の固定に使うナットです。サイズを合わせて交換することで、ガタつきを抑えて仕上がりを安定させやすくします。,A nut for rimless frames and small parts. Selecting the right size helps reduce looseness and stabilize the finish.,用于无框架和小部件固定的螺母。按尺寸更换，可减少松动并稳定完成度。,무테 프레임과 작은 부품 고정에 사용하는 너트입니다. 사이즈를 맞춰 교체하면 흔들림을 줄이고 마감을 안정시키기 쉽습니다.,PDF:サンニシムラ総合カタログ2025-2027 (1).pdf
0822-03,花型ナットGUN1.2×2.25×1.0,HP照合ステータス: not_found。exact未確認のため要約根拠はカタログ優先。,カタログP.50 / 小部品固定 / ゆるみやガタつきを抑えやすい / ツーポイントや小部品の固定に使うナットです。サイズを合わせて交換することで、ゆるみやガタつきを抑え、仕上がりを安定させやすくします。 / 入数: 14ヶ / W ツーポイント 1.2 鼻 盛 パ ット No.0822-03 花型 GUN ツーポイント ネ No.141-625 六角 G No.141-626 六角,ツーポイントや小部品の固定に使うナットです。サイズを合わせて交換することで、ガタつきを抑えて仕上がりを安定させやすくします。,A nut for rimless frames and small parts. Selecting the right size helps reduce looseness and stabilize the finish.,用于无框架和小部件固定的螺母。按尺寸更换，可减少松动并稳定完成度。,무테 프레임과 작은 부품 고정에 사용하는 너트입니다. 사이즈를 맞춰 교체하면 흔들림을 줄이고 마감을 안정시키기 쉽습니다.,カタログP.50 / PDF:サンニシムラ総合カタログ2025-2027 (1).pdf
0822-03A,花型ナットGUN(100個入),HP照合ステータス: not_found。exact未確認のため要約根拠はカタログ優先。,小部品固定 / ゆるみやガタつきを抑えやすい / ツーポイントや小部品の固定に使うナットです。サイズを合わせて交換することで、ゆるみやガタつきを抑え、仕上がりを安定させやすくします。 / 入数: 100個,ツーポイントや小部品の固定に使うナットです。サイズを合わせて交換することで、ガタつきを抑えて仕上がりを安定させやすくします。,A nut for rimless frames and small parts. Selecting the right size helps reduce looseness and stabilize the finish.,用于无框架和小部件固定的螺母。按尺寸更换，可减少松动并稳定完成度。,무테 프레임과 작은 부품 고정에 사용하는 너트입니다. 사이즈를 맞춰 교체하면 흔들림을 줄이고 마감을 안정시키기 쉽습니다.,PDF:サンニシムラ総合カタログ2025-2027 (1).pdf
0831-00,ツーポイントネジW 1.2×10,HP照合ステータス: variant_group。exact未確認のため要約根拠はカタログ優先。,カタログP.50 / 固定 / 修理や交換に使いやすい / 固定に使う商品です。サイズを合わせて使うことで、ゆるみや紛失時の修理対応をスムーズにできます。 / 入数: 15本 / 洋白 G ツーポイント 1.2 10.0 No.0831-00 洋白 W ツーポイント 1.2 No.0831-20 洋白 GUN ツーポイント 計測器 加,ツーポイントやフレーム部品の固定に使うネジ・ボルトです。寸法を合わせて交換し、ゆるみや外れを補修しやすくします。,A screw or bolt for rimless frames and frame parts. Matching the dimensions helps repair loose or detached areas.,用于无框架和镜架部件固定的螺丝/螺栓。按尺寸更换，便于修理松动或脱落。,무테 프레임과 프레임 부품 고정에 쓰는 나사·볼트입니다. 치수를 맞춰 교체하면 풀림이나 이탈을 보수하기 쉽습니다.,カタログP.50 / PDF:サンニシムラ総合カタログ2025-2027 (1).pdf
